ID,Category,Language,Display Text,Spoken Text,Character Count,Text Hash,Status
TTS_LEVEL_SELECTION_INTRO,level_selection,ar,ما هو عدد الساعات المحددة لك؟,عشان نعرف البرنامج المناسب لك، اختر عدد الساعات المحددة لك.,59,9edbb71571defc30d29eaa4c930c2c83627f30d405a972d8f2c5b8c7397019f6,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,en,How many training hours were you assigned?,"To find the right program for you, please select your assigned number of hours.",79,86678366a458695e4de49be73f0fb70979cfc0c82d55cac7f22ca9ba59002983,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,ur,آپ کے لیے مقرر کردہ گھنٹے کتنے ہیں؟,آپ کے لیے صحیح پروگرام جاننے کے لیے، اپنے مقرر کردہ گھنٹے منتخب کریں۔,69,abaf750f1b087b5d67f743549e25fdfbc13c553194b6aa7756f9b86cb7d925b9,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,hi,आपके लिए निर्धारित घंटे कितने हैं?,"आपके लिए सही कार्यक्रम जानने के लिए, अपने निर्धारित घंटे चुनें।",63,d0c4b8fa1342ede70df05d4063789d86d9a0a1357b3cb8602c3d93e24e5719c7,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,pa,آپ کے لیے مقرر کردہ گھنٹے کتنے ہیں؟,آپ کے لیے صحیح پروگرام جاننے کے لیے، اپنے مقرر کردہ گھنٹے منتخب کریں۔,69,abaf750f1b087b5d67f743549e25fdfbc13c553194b6aa7756f9b86cb7d925b9,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,fr,Combien d'heures vous ont été attribuées ?,"Pour trouver le programme adapté, veuillez sélectionner le nombre d'heures qui vous a été attribué.",99,4d327219e87416c9863fdcecc1a24e4a35e5fce6dbcee65ac3148d475f328d04,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,it,Quante ore ti sono state assegnate?,"Per trovare il programma adatto a te, seleziona il numero di ore assegnate.",75,693989ca5b4667e2d57ed97a9e5b01e31337ffc0d9ae6fc29278241658225ea0,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,bn,আপনার জন্য নির্ধারিত ঘণ্টা কত?,"আপনার জন্য সঠিক প্রোগ্রাম জানতে, আপনার নির্ধারিত ঘণ্টা নির্বাচন করুন।",69,1f8a61dbc1b592f4722b898b15999ae0c057999b5ed8f54b6a84815caf3ca488,pending
TTS_LEVEL_SELECTION_INTRO,level_selection,tr,Size kaç saat atandı?,"Size uygun programı belirlemek için, atanan saat sayısını seçin.",64,5988dc476fcddf1eca4d3169cfd2a5f0c199f32b7f7fb17b60d2af13909e61d3,pending
TTS_LEVEL_BEGINNER,level,ar,عدد ساعات التدريب: 30 ساعة,إذا كان تقييمك مبتدئ، بيكون تدريبك 30 ساعة على 11 يوم. بعد تحديد المستوى، تتوجه للاستقبال وتاخذ رقم، وبعدها تنتظر خدمة العملاء عشان تكمل دفع الرسوم. بعد الدفع، تاخذ حصة المحاكاة في المبنى الرئيسي، وبعدها الاختبار النظري. وإذا اجتزت الاختبار، تقدر تحدد مواعيد التدريب العملي عن طريق خدمة العملاء أو من الموقع، وتوصل لموقع الميدان العملي عن طريق مسح الرمز.,354,0d9c1a7948e29834111fa8aafb887b9b9926dae0898ead2d4831216c9236465a,pending
